"","as.factor(season_order)","as.numeric(days_since_shaving)","shavearea","treeHeight","df","logLik","AICc","delta","weight","cv.mean.rmse","cv.mean.adj.rmse","loo.rmse"
"16","+",-0.0611163186898721,0.000641792742437101,0.00393528562145289,7,-1277.37447513679,2568.86006138468,0,0.566703600709803,3.12161519535848,3.11728777476671,3.1200580051104
"14","+",NA,0.000647617859893215,0.00394463707612099,6,-1278.68293139927,2569.44911354185,0.589052157163223,0.422128739912389,3.10047384799951,3.09855862025134,3.11273622615611
"12","+",-0.0633405059613455,NA,0.00374171319490883,6,-1282.82426002748,2577.73177079826,8.87170941357726,0.00671256880583902,NA,NA,NA
"10","+",NA,NA,0.00374648599269155,5,-1284.2461167479,2578.55163943639,9.69157805170198,0.00445509057196898,NA,NA,NA
"4","+",-0.0727584240984043,NA,NA,5,-1395.31598768203,2800.69138130465,231.831319919964,2.58121681303116e-51,NA,NA,NA
"8","+",-0.072683609329153,0.000100484313303563,NA,6,-1395.15857194964,2802.40039464259,233.54033325791,1.09828980993475e-51,NA,NA,NA
"2","+",NA,NA,NA,4,-1397.43944533896,2802.91845546525,234.058394080571,8.47659582434224e-52,NA,NA,NA
"6","+",NA,0.000102472524820572,NA,5,-1397.27537454242,2804.61015502544,235.750093640759,3.63809121747561e-52,NA,NA,NA
"15",NA,-0.112202311174865,-0.000704801667181982,0.00159322980840593,3,-1412.3297636153,2830.68324264562,261.823181260941,7.92819902819884e-58,NA,NA,NA
"13",NA,NA,-0.000812548476768178,0.00152504209210782,2,-1417.89123230956,2839.79431062109,270.934249236405,8.33165486266899e-60,NA,NA,NA
"11",NA,-0.180347878473378,NA,0.000661807458640826,2,-1434.74662590589,2873.50509781376,304.645036429077,3.98590406716412e-67,NA,NA,NA
"9",NA,NA,NA,0.000290633197827524,1,-1451.10695898119,2904.21786273555,335.357801350865,8.53757785572156e-74,NA,NA,NA
"7",NA,-0.0740865598523814,0.000138521785297162,NA,2,-1458.67045102842,2921.35274805881,352.492686674124,1.62383390534121e-77,NA,NA,NA
"1",NA,NA,NA,NA,0,-1461.84740380092,2923.69480760185,354.834746217166,5.03465640708899e-78,NA,NA,NA
"5",NA,NA,0.0000420606910960366,NA,1,-1461.24151235991,2924.486969493,355.626908108316,3.38808321226959e-78,NA,NA,NA
"3",NA,-0.0152331531627044,NA,NA,1,-1461.60367981237,2925.21130439792,356.351243013237,2.35866760372024e-78,NA,NA,NA
