"","stat"
"Total observation nights",256
"Total bat visits",42873
"Total non-Pteropus visits",40329
"Percentage of total visits, non-Pteropus",94.0661955076622
"Total Pteropus visits",1195
"Percentage of total visits, Pteropus",2.78730203158165
"Total unidentified visits",1349
"Percentage of total visits, unidentified",3.14650246075619
"Total bat stays",33018
"Total non-Pteropus stays",31909
"Percentage of total stays, non-Pteropus",96.6412259979405
"Total Pteropus stays",1093
"Percentage of total stays, Pteropus",3.31031558543825
"Total unidentified stays",16
"Percentage of total stays, unidentified",0.0484584166212369
