"","as.factor(season_order)","as.numeric(days_since_shaving)","shavearea","treeHeight","df","logLik","AICc","delta","weight","cv.mean.rmse","cv.mean.adj.rmse","loo.rmse"
"8","+",-0.161414668210759,0.000728522877287864,NA,6,-3638.21310989056,7288.50947052443,0,0.733331876485593,84.576212475904,84.5155284922239,84.8138633379768
"16","+",-0.161522640282298,0.000727432350662778,-0.0000161108261859674,7,-3638.21077353592,7290.53265818296,2.02318765852397,0.266668025551187,84.8598939366308,84.8147908638674,84.8453234356225
"6","+",NA,0.000712520984138907,NA,5,-3655.78236708226,7321.62414010512,33.1146695806865,0.0000000472651922654046,NA,NA,NA
"4","+",-0.159049315194956,NA,NA,5,-3656.62450678639,7323.30841951336,34.7989489889314,0.0000000203612671619886,NA,NA,NA
"14","+",NA,0.000717662683283708,0.0000718933142272867,6,-3655.73577442103,7323.55479958537,35.0453290609375,0.0000000180013074534539,NA,NA,NA
"12","+",-0.16063490751263,NA,-0.000234491066898631,6,-3656.11374158288,7324.31073390907,35.8012633846383,0.0000000123354499856717,NA,NA,NA
"2","+",NA,NA,NA,4,-3673.59452300483,7355.228610797,66.7191402725639,0.00000000000000238464279995387,NA,NA,NA
"10","+",NA,NA,-0.000149956964094822,5,-3673.38441561393,7356.82823716845,68.318766644019,0.00000000000000107168926724404,NA,NA,NA
"13",NA,NA,0.00244570489704404,0.00142597994541521,2,-4914.98459194058,9833.98102988313,2545.4715593587,0,NA,NA,NA
"15",NA,0.00551269764946655,0.00244113919135255,0.00142027378163962,3,-4914.95779478412,9835.93930498327,2547.42983445883,0,NA,NA,NA
"7",NA,0.0491215287697578,0.00312634740067314,NA,2,-4974.02931939464,9952.07048479125,2663.56101426681,0,NA,NA,NA
"5",NA,NA,0.00319378403397806,NA,1,-4976.17105212257,9954.34604901832,2665.83657849388,0,NA,NA,NA
"11",NA,0.155517762232984,NA,0.00608747252992347,2,-5507.35564267547,11018.7231313529,3730.21366082848,0,NA,NA,NA
"9",NA,NA,NA,0.00650991786280093,1,-5529.90695757614,11061.8178599255,3773.30838940103,0,NA,NA,NA
"3",NA,1.85532063929033,NA,NA,1,-11381.6766901673,22765.3573251078,15476.8478545834,0,NA,NA,NA
"1",NA,NA,NA,NA,0,-22821.1777727556,45642.3555455113,38353.8460749868,0,NA,NA,NA
