"","(Intercept)","as.numeric(days_since_shaving)","min_temp","shavearea","treeHeight","df","logLik","AICc","delta","weight","cv.mean.rmse","cv.mean.adj.rmse","loo.rmse"
"12",6.11090159089789,-0.157299302664391,-0.0753988468621743,NA,-0.00106968346560131,4,-1023.14524608676,2054.4999162573,0,0.371216210567766,106.510393088579,106.371304224283,106.224837726026
"4",5.56975234449385,-0.165590527865992,-0.0752858368577179,NA,NA,3,-1024.31611487451,2054.75722974903,0.257313491728837,0.326401404082703,106.156347502094,106.11003189275,106.492204878397
"16",6.35596105874817,-0.154302274484571,-0.0715990028557036,-0.00022862715804782,-0.00119485553566224,5,-1022.88259926267,2056.08098799902,1.5810717417271,0.168384288675707,108.092433044825,107.815120718404,106.752042479763
"8",5.63354501599529,-0.164733927536298,-0.073748834673438,-0.0000831624889607677,NA,4,-1024.27999920087,2056.7694224855,2.26950622820459,0.119346563220859,NA,NA,NA
"14",5.61119026432013,-0.128103230388693,NA,-0.000498660806380445,-0.00124093386065455,4,-1027.83772661993,2063.88487732363,9.38496106633511,0.00340179807527461,NA,NA,NA
"10",4.98606370019721,-0.129335126940943,NA,NA,-0.00103324030024431,3,-1029.12600347751,2064.37700695502,9.87709069772109,0.0026597691194002,NA,NA,NA
"2",4.46485711336201,-0.137301154853818,NA,NA,NA,2,-1030.25703736211,2064.57625089002,10.0763346327203,0.00240756858973426,NA,NA,NA
"11",5.75776587017254,NA,-0.0561182726791975,NA,-0.00133897915630277,3,-1029.4788981764,2065.08279635281,10.5828800955114,0.00186888990875078,NA,NA,NA
"6",4.85909484440269,-0.137725022919552,NA,-0.00037732743476231,NA,3,-1029.50328193246,2065.13156386492,10.6316476076213,0.00182387045537679,NA,NA,NA
"15",6.07827487028355,NA,-0.0517518087217392,-0.000296787906605809,-0.00147992244727058,4,-1029.00676506479,2066.22295421336,11.7230379560592,0.00105682136703539,NA,NA,NA
"3",5.04156129525404,NA,-0.0542480705222465,NA,NA,2,-1031.43645075792,2066.93507768164,12.435161424341,0.000740228733292391,NA,NA,NA
"7",5.14547305698896,NA,-0.0519654350859119,-0.00013050868332931,NA,3,-1031.34324627984,2068.81149255967,14.3115763023739,0.000289672738684452,NA,NA,NA
"13",5.52210742757675,NA,NA,-0.000484040828504757,-0.00144493050726676,3,-1031.90603349205,2069.9370669841,15.4371507267992,0.000165003153568054,NA,NA,NA
"9",4.9163583461541,NA,NA,NA,-0.00124876050467042,2,-1033.17507661961,2070.41232940503,15.9124131477324,0.000130103901792186,NA,NA,NA
"1",4.27318785464416,NA,NA,NA,NA,1,-1034.90437159126,2071.82936173921,17.3294454819156,0.0000640598119529401,NA,NA,NA
"5",4.62799882223299,NA,NA,-0.000339961864235144,NA,2,-1034.26497328461,2072.59212273501,18.0922064777164,0.0000437475981029703,NA,NA,NA
