"","month","mean_non_Pteropus","sum_non_Pteropus","mean_Pteropus","sum_Pteropus"
"1",1,102.488095238095,8609,3.05952380952381,257
"2",2,157.176470588235,13360,1.6,136
"3",3,10.3292682926829,847,0.597560975609756,49
"4",4,33.7411764705882,2868,2.61176470588235,222
"5",5,4.31818181818182,380,0.931818181818182,82
"6",6,0,0,0.0238095238095238,2
"7",7,0.0714285714285714,6,0.0714285714285714,6
"8",8,4.26190476190476,358,0.321428571428571,27
"9",9,2.81818181818182,248,1.59090909090909,140
"10",10,8.88095238095238,746,0.964285714285714,81
"11",11,32.0235294117647,2722,0.505882352941176,43
"12",12,21.0119047619048,1765,0.571428571428571,48
